number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,266.61807493445605,2026-03-14 17:51:48.952295,2026-03-14 17:51:51.308563,0 days 00:00:02.356268,0.8429521169792498,0.07563407956692322,0.0050695240451904405,5,8,3825,0.003327054963436224,2.881760009892891e-08,0.8144754354791038,COMPLETE
11,266.2974184235022,2026-03-14 17:51:51.312565,2026-03-14 17:51:54.567447,0 days 00:00:03.254882,0.8556707938696546,0.055108905097137055,0.005097880797964203,5,8,3987,0.0019991509735446254,1.1130616139513262e-08,0.8142497056141959,COMPLETE
12,270.9386186772169,2026-03-14 17:51:54.570448,2026-03-14 17:51:56.793007,0 days 00:00:02.222559,0.8790713712780156,1.0590611533139123,0.0068994395038238995,5,7,3895,0.0006611496357212603,1.0718856287357307e-08,0.8155245426273388,COMPLETE
13,282.7817294491785,2026-03-14 17:51:56.795015,2026-03-14 17:51:58.771706,0 days 00:00:01.976691,0.8861123962210355,0.9369102116944656,0.017517192491163982,5,20,3988,0.00283210889357581,1.5077748067596373e-08,0.8216565119174516,COMPLETE
14,262.6262424173187,2026-03-14 17:51:58.776721,2026-03-14 17:52:00.582799,0 days 00:00:01.806078,0.8336873316479536,0.1859843578685474,0.005146208804049421,5,7,3441,0.005998844161010083,1.9451003406195933e-05,0.9978298864744672,COMPLETE
15,287.7052871071346,2026-03-14 17:52:00.587328,2026-03-14 17:52:02.244696,0 days 00:00:01.657368,0.9525128015264831,1.5079389593098511,0.007801697908596083,4,1,3404,7.482487167959562e-05,2.9339435995365043e-05,0.9811952774039648,COMPLETE
16,293.1147939259719,2026-03-14 17:52:02.251214,2026-03-14 17:52:03.930384,0 days 00:00:01.679170,0.8064114554738081,2.9901645171280045,0.013690336134713878,6,5,3448,0.02316062671984357,0.029154739979926965,0.8803773828168815,COMPLETE
17,270.8477585038939,2026-03-14 17:52:03.933897,2026-03-14 17:52:05.324787,0 days 00:00:01.390890,0.9316254660596585,0.6415955358997856,0.013676196824008523,4,10,3440,0.0001603003541208582,2.9899790082776746e-05,0.9491648443348353,COMPLETE
18,270.6645300071428,2026-03-14 17:52:05.328309,2026-03-14 17:52:06.128647,0 days 00:00:00.800338,0.7825317555247274,1.2110844403461298,0.023268182096357302,6,5,1428,1.167050050664322e-05,3.1766531619406855e-07,0.7658366091491517,COMPLETE
19,273.70087774733116,2026-03-14 17:52:06.131648,2026-03-14 17:52:07.916404,0 days 00:00:01.784756,0.8404187935075919,0.508875735383838,0.007783415629467089,4,14,3580,0.009668017685068673,2.3636477837285265e-05,0.8613625414908518,COMPLETE
20,321.15142561262434,2026-03-14 17:52:07.920419,2026-03-14 17:52:09.582753,0 days 00:00:01.662334,0.7409150647503155,2.5119429704978646,0.006086905395928873,10,1,3159,1.2722974438529106e-08,43.57640124706958,0.9993126746161707,COMPLETE
